customer_id,level,source,event_id,description,occurrence_count,safety_keyword
mr176133,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,69629,shutdown
mr176133,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,41278,shutdown
mr176133,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",40878,shutdown
mr176430,I,MRI_FRR,278,Emergency docking released,504159,emergency
mr176430,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,503577,helium
mr176430,I,MRI_HEC,1032,Helium compressor unit is running.,503569,helium
mr176430,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,503565,helium
mr176430,I,MRI_HEC,1023,Helium compressor Daily log has updated.,483317,helium
mr176430,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,269943,shutdown
mr176430,I,MRI_HEC,1022,Helium compressor Weekly log has updated.,210642,helium
mr176659,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,146853,helium
mr176659,I,MRI_HEC,1032,Helium compressor unit is running.,146852,helium
mr176659,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,146851,helium
mr176659,I,MRI_FRR,278,Emergency docking released.,119794,emergency
mr176659,S,MRI_FRR,278,Emergency docking released.,51855,emergency
mr176659,E,MRI_RFS,8,SAR limit(s) exceeded.,12078,sar limit
mr176659,I,DeveloperLog_DevLogService,0,ShutdownManagement.Shutdown - Point of no return -> ShutdownExecute,10589,shutdown
mr176659,W,MRI_PTG,21,"Patient table warning: The safety edge for vertical collision detection is activated. Check for obstacles above the docking station and table chassis. Only upward movement is possible.  If the problem persists, please contact Siemens Service.",8525,safety
mr176659,I,MRI_PTG,22,The safety edge for vertical collision detection is released. Vertical movement is enabled.,8230,safety
mr176659,W,MRI_PTG,21,"Patient table warning: The safety edge for vertical collision detection is activated. Check for obstacles above the docking station and table chassis. Only upward movement is possible.  If the problem persists, please contact Siemens Service. ID: syngo.MR.MRI_PTG_NlsMessageId.Resources.PTGmsg.MRI_PTG_W_21_PTG_PTAB_SWITCH_S60_OBSTACLE_OCCURED",8058,safety
mr176659,I,DeveloperLog_DevLogService,0,"ShutdownManagement - Executing: Immediate shutdown, as indicated by shutdown type 'Default' - no LCM involvement.",7975,shutdown
mr176659,I,DeveloperLog_DevLogService,0,"ShutdownService.RequestShutdownDelayInternal: Adding Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>, requestInfo=PendingShutdownActivities",7716,shutdown
mr176659,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,7710,shutdown
mr176659,I,DeveloperLog_DevLogService,0,ShutdownService.CancelShutdownDelayRequest: Removed Shutdown Delay Request: requestId=PendingShutdownActivities_<GUID>,7710,shutdown
mr176750,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,162390,helium
mr176750,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,162390,helium
mr176750,I,MRI_HEC,1032,Helium compressor unit is running.,162390,helium
mr176750,I,MRI_FRR,278,Emergency docking released,138145,emergency
mr176750,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,35574,shutdown
mr176750,I,MRI_HEC,1023,Helium compressor Daily log has updated.,29871,helium
mr176750,S,MRI_FRR,278,Emergency docking released,23371,emergency
mr176750,I,MRI_HEC,1022,Helium compressor Weekly log has updated.,5745,helium
mr176802,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,277399,helium
mr176802,I,MRI_HEC,1032,Helium compressor unit is running.,277386,helium
mr176802,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,277366,helium
mr176802,I,MRI_FRR,278,Emergency docking released,276074,emergency
mr176802,I,DeveloperLog_DevLogService,0,RequestShutdownDelaysForPendingActivities: There are no more pending activities.,36312,shutdown
mr176802,I,MRI_HEC,1023,Helium compressor Daily log has updated.,13866,helium
mr176802,E,MRI_RFS,8,SAR limit(s) exceeded.,13182,sar limit
mr176887,I,MRI_HEC,1017,Helium compressor bypass solenoid valve closed.,106735,helium
mr176887,I,MRI_HEC,1031,Helium compressor unit is running in normal mode.,106735,helium
