level,source,event_id,masked_description,occurrence_count
I,MRI_FRR,274,"PTAB Position on Y-Axis: 5, detail values see extended message description.",4793
I,MRI_CPA,1067,The laser marker button on the control panel has been pressed.,4768
I,MRI_MSR,34,Measurement control information: measurement has been stopped by user.,4761
I,MRI_MSR,34,Measurement control information: measurement has been stopped by user. ID: syngo.MR.MRI_MSR_NlsMessageId.Resources.MSRmsg.MRI_MSR_I_34_USER_STOP,4758
I,MRI_FRR,269,"PTAB Docking State: 2, detail values see extended message description.",4572
I,MRI_PTG,33,The docking button on the table user interface is pressed.,4561
E,DeveloperError_DevLogService,0,Auto Views License not Available!,4538
E,DeveloperError_DevLogService,0,SY_AUTO_VIEWS_MENU_ID: License not available,4538
E,MRI_MIF,27,Preparation of measurement system has failed. ID: syngo.MR.MRI_MIF_NlsMessageId.Resources.MIFmsg.MRI_MIF_E_27_SLOT_PREPARE_FAILED,4513
E,MRI_MIF,27,Preparation of measurement system has failed.,4512
I,Event_UsageTrail,0,"<Event type=""UtilizationEvent"" name =""SeriesNavigator_ExportSeriesInvoked"" time=""<DATE> <TIME>Z""> <SELECTEDDATAROLESCOUNT>5</SELECTEDDATAROLESCOUNT> </Event>",4508
W,DeveloperLog_DevLogService,0,Did skip 3 messages. Content: Count is zero,4470
I,MRI_CPA,1066,The home button on the control panel has been pressed.,4415
I,MRI_PTG,6,Patient table information:  S20 has value 0,4370
E,MRI_RFS,8,SAR limit(s) exceeded.,4314
I,DeveloperLog_DevLogService,0,Workflow removed from cache on OnWorkflowDelete event <GUID>@WorkflowNX,4256
I,DeveloperLog_DevLogService,0,"IMAGE_ACCESS_RSC:  Disposing    at syngo.RemoteServices.Viewing.ImageAccess.Core.ImageAccessRSC.Dispose(Boolean disposing)    at System.ComponentModel.Component.Dispose()    at syngo.Common.Applications.Viewing.Shell.DisposeExtensions.DisposeIfDisposable(Object reference)    at syngo.BizLogic.Applications.Viewing.Shell.Services.ImageAccessService.ViewingShellImageAccessRsc.Dispose(Boolean disposing)    at syngo.BizLogic.Applications.Viewing.Shell.Services.ImageAccessService.ViewingShellImageAccessRsc.Dispose()    at syngo.BizLogic.Applications.Viewing.Shell.Services.ImageAccessService.ImageAccessHost.StopInternalImpl()    at syngo.Common.Applications.Viewing.Shell.Async.AsyncRouterDelegator.<>c__DisplayClass2_0.<RouteAsync>b__0(Boolean _)    at syngo.Common.Applications.Viewing.Shell.Async.AsyncWorkingBoxRouter.WorkingBoxValueWithoutErrorPropagationToBoth`2.Execute()    at syngo.Common.Core.Internal.ObjectTask.RunWbLoop()    at syngo.Common.Core.Internal.ObjectTask.Run()    at System.Threading.ExecutionContext.RunInternal(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)    at System.Threading.ExecutionContext.Run(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)    at System.Threading.ExecutionContext.Run(ExecutionContext executionContext, ContextCallback callback, Object state)    at System.Threading.ThreadHelper.ThreadStart()",4223
I,MRI_COS,21,SPICE prepare time: 10 ms,4220
I,MRI_COS,20,IRIS prepare time: 36 ms,4139
I,MRI_PSR,48,Beat Sensor learning phase is active,4105
W,DeveloperLog_DevLogService,0,Did skip 28 messages. Content: ListView Item value is null => False,4082
I,DeveloperLog_DevLogService,0,Did skip 2 messages. Content: Plug in: VectorRayCaster is used for filter type MPR,4065
I,MRI_MSR,101,"Valid coil select (Coil select #0: 'BO1-3,SP2-4')",3982
